char,txt_file,image_group_id,work_id,reference
༄,v001.txt,I1317,W23703,"{""13170004.tif"": [[0, 1]]}"
འི,v001.txt,I1317,W23703,"{""13170004.tif"": [[64, 1], [179, 2], [473, 4], [565, 4], [727, 5]]}"
འི,v001.txt,I1317,W23703,"{""13170005.tif"": [[55, 1], [279, 2], [755, 5]]}"
ཚོ,v001.txt,I1317,W23703,"{""13170005.tif"": [[283, 2]]}"
འི,v001.txt,I1317,W23703,"{""13170006.tif"": [[776, 4], [805, 4]]}"
ཚི,v001.txt,I1317,W23703,"{""13170006.tif"": [[808, 4], [1266, 6]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170006.tif"": [[1430, 7]]}"
བྷ,v001.txt,I1317,W23703,"{""13170006.tif"": [[1368, 6]]}"
ཚི,v001.txt,I1317,W23703,"{""13170007.tif"": [[116, 1]]}"
ཚོ,v001.txt,I1317,W23703,"{""13170007.tif"": [[810, 4]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170007.tif"": [[183, 1], [320, 2]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170008.tif"": [[120, 1], [1004, 5]]}"
ཚི,v001.txt,I1317,W23703,"{""13170009.tif"": [[467, 3], [488, 3]]}"
ཚོ,v001.txt,I1317,W23703,"{""13170009.tif"": [[266, 2], [399, 2], [1047, 5]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170009.tif"": [[1319, 7]]}"
ཚོ,v001.txt,I1317,W23703,"{""13170010.tif"": [[241, 2]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170010.tif"": [[316, 2]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170010.tif"": [[1516, 7]]}"
༄,v001.txt,I1317,W23703,"{""13170011.tif"": [[0, 1]]}"
ཚི,v001.txt,I1317,W23703,"{""13170011.tif"": [[1528, 7]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170011.tif"": [[788, 4]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170011.tif"": [[351, 2]]}"
ཚི,v001.txt,I1317,W23703,"{""13170012.tif"": [[971, 5]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170012.tif"": [[1348, 6]]}"
ཚོ,v001.txt,I1317,W23703,"{""13170012.tif"": [[244, 2], [302, 2], [632, 3], [738, 4]]}"
ཚི,v001.txt,I1317,W23703,"{""13170013.tif"": [[55, 1], [200, 1], [697, 4]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170017.tif"": [[347, 2], [384, 2], [426, 2]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170018.tif"": [[985, 5], [1328, 6], [1458, 7]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170020.tif"": [[323, 2]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170020.tif"": [[185, 1]]}"
ཽ,v001.txt,I1317,W23703,"{""13170021.tif"": [[223, 2]]}"
ཚེ,v001.txt,I1317,W23703,"{""13170021.tif"": [[211, 1]]}"
བྷ,v001.txt,I1317,W23703,"{""13170021.tif"": [[228, 2]]}"
ཙོ,v001.txt,I1317,W23703,"{""13170023.tif"": [[184, 1]]}"
ཽ,v001.txt,I1317,W23703,"{""13170026.tif"": [[1222, 6], [1631, 7]]}"
གཽ,v001.txt,I1317,W23703,"{""13170026.tif"": [[1221, 6], [1630, 7]]}"
ཽ,v001.txt,I1317,W23703,"{""13170027.tif"": [[58, 1], [217, 2], [567, 3]]}"
གཽ,v001.txt,I1317,W23703,"{""13170027.tif"": [[57, 1], [216, 2], [566, 3]]}"
བྷ,v001.txt,I1317,W23703,"{""13170028.tif"": [[1206, 6], [1400, 7]]}"
ཽ,v001.txt,I1317,W23703,"{""13170030.tif"": [[1156, 5]]}"
གཽ,v001.txt,I1317,W23703,"{""13170030.tif"": [[1155, 5]]}"
བྷ,v001.txt,I1317,W23703,"{""13170033.tif"": [[1061, 5]]}"
བྷ,v001.txt,I1317,W23703,"{""13170034.tif"": [[1331, 6], [1366, 6], [1392, 6], [1516, 7]]}"
བྷ,v001.txt,I1317,W23703,"{""13170035.tif"": [[486, 3]]}"
བཱ,v001.txt,I1317,W23703,"{""13170041.tif"": [[971, 5]]}"
རཱ,v001.txt,I1317,W23703,"{""13170041.tif"": [[974, 5]]}"
སཱ,v001.txt,I1317,W23703,"{""13170041.tif"": [[979, 5]]}"
བཱ,v001.txt,I1317,W23703,"{""13170042.tif"": [[1500, 7]]}"
རཱ,v001.txt,I1317,W23703,"{""13170042.tif"": [[1503, 7]]}"
སཱ,v001.txt,I1317,W23703,"{""13170042.tif"": [[1508, 7]]}"
ཽ,v001.txt,I1317,W23703,"{""13170051.tif"": [[614, 3]]}"
གཽ,v001.txt,I1317,W23703,"{""13170051.tif"": [[613, 3]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170061.tif"": [[1130, 5]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170070.tif"": [[1418, 6]]}"
༄,v001.txt,I1317,W23703,"{""13170086.tif"": [[1041, 5]]}"
༄,v001.txt,I1317,W23703,"{""13170088.tif"": [[647, 4]]}"
ཽ,v001.txt,I1317,W23703,"{""13170090.tif"": [[513, 3]]}"
གཽ,v001.txt,I1317,W23703,"{""13170090.tif"": [[512, 3]]}"
༄,v001.txt,I1317,W23703,"{""13170091.tif"": [[501, 3]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170091.tif"": [[472, 3]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170097.tif"": [[495, 3]]}"
སཱ,v001.txt,I1317,W23703,"{""13170104.tif"": [[1188, 5]]}"
ཽ,v001.txt,I1317,W23703,"{""13170114.tif"": [[1525, 7]]}"
གཽ,v001.txt,I1317,W23703,"{""13170114.tif"": [[1524, 7]]}"
༄,v001.txt,I1317,W23703,"{""13170123.tif"": [[506, 3]]}"
༄,v001.txt,I1317,W23703,"{""13170124.tif"": [[1213, 6], [1262, 6]]}"
༄,v001.txt,I1317,W23703,"{""13170126.tif"": [[631, 3]]}"
༄,v001.txt,I1317,W23703,"{""13170127.tif"": [[1321, 7]]}"
དྷཱ,v001.txt,I1317,W23703,"{""13170128.tif"": [[1007, 5]]}"
བཻ,v001.txt,I1317,W23703,"{""13170129.tif"": [[465, 3]]}"
ཌཱུ,v001.txt,I1317,W23703,"{""13170129.tif"": [[468, 3]]}"
སཱ,v001.txt,I1317,W23703,"{""13170134.tif"": [[153, 1]]}"
སཱ,v001.txt,I1317,W23703,"{""13170144.tif"": [[805, 4], [834, 4]]}"
བཱ,v001.txt,I1317,W23703,"{""13170147.tif"": [[1094, 5]]}"
རཱ,v001.txt,I1317,W23703,"{""13170147.tif"": [[1097, 5]]}"
སཱ,v001.txt,I1317,W23703,"{""13170147.tif"": [[1102, 5], [1197, 6]]}"
བཱ,v001.txt,I1317,W23703,"{""13170164.tif"": [[910, 4]]}"
དྷཱ,v001.txt,I1317,W23703,"{""13170164.tif"": [[768, 4]]}"
རཱ,v001.txt,I1317,W23703,"{""13170164.tif"": [[913, 4]]}"
སཱ,v001.txt,I1317,W23703,"{""13170164.tif"": [[918, 4]]}"
བཱ,v001.txt,I1317,W23703,"{""13170165.tif"": [[1015, 5]]}"
རཱ,v001.txt,I1317,W23703,"{""13170165.tif"": [[1018, 5]]}"
སཱ,v001.txt,I1317,W23703,"{""13170165.tif"": [[1023, 5]]}"
དྷཱ,v001.txt,I1317,W23703,"{""13170166.tif"": [[1101, 5]]}"
བཱ,v001.txt,I1317,W23703,"{""13170167.tif"": [[256, 2]]}"
རཱ,v001.txt,I1317,W23703,"{""13170167.tif"": [[259, 2]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170200.tif"": [[473, 3]]}"
བཻ,v001.txt,I1317,W23703,"{""13170202.tif"": [[1129, 6]]}"
ཌཱུ,v001.txt,I1317,W23703,"{""13170202.tif"": [[1132, 6]]}"
ཀྵ,v001.txt,I1317,W23703,"{""13170203.tif"": [[1029, 5], [1107, 6]]}"
རཱ,v001.txt,I1317,W23703,"{""13170204.tif"": [[842, 4], [900, 5]]}"
མཽ,v001.txt,I1317,W23703,"{""13170240.tif"": [[743, 4], [1384, 7], [743, 4], [1384, 7]]}"
