char,txt_file,image_group_id,work_id,reference
།།,v001.txt,I1317,W23703,"{""13170010.tif"": [[1398, 7], [1401, 7], [1553, 7], [1556, 7]]}"
།།,v001.txt,I1317,W23703,"{""13170013.tif"": [[190, 1], [193, 1]]}"
ཥྞུ,v001.txt,I1317,W23703,"{""13170019.tif"": [[1497, 7]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170028.tif"": [[26, 1]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170037.tif"": [[1002, 5]]}"
།།,v001.txt,I1317,W23703,"{""13170048.tif"": [[633, 3], [636, 3]]}"
།།,v001.txt,I1317,W23703,"{""13170051.tif"": [[494, 3]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170055.tif"": [[1293, 6]]}"
ཥྞུ,v001.txt,I1317,W23703,"{""13170083.tif"": [[560, 3]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170093.tif"": [[548, 3], [570, 3]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170117.tif"": [[649, 3]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170150.tif"": [[443, 2]]}"
མྦཱ,v001.txt,I1317,W23703,"{""13170164.tif"": [[634, 3]]}"
དྭཱ,v001.txt,I1317,W23703,"{""13170166.tif"": [[482, 3]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170169.tif"": [[1483, 7]]}"
རྞཱ,v001.txt,I1317,W23703,"{""13170169.tif"": [[1461, 7]]}"
སྣྲ,v001.txt,I1317,W23703,"{""13170182.tif"": [[591, 3]]}"
དྨཱ,v001.txt,I1317,W23703,"{""13170202.tif"": [[1415, 7]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170203.tif"": [[1101, 6]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170233.tif"": [[854, 4]]}"
རྨྨ,v001.txt,I1317,W23703,"{""13170233.tif"": [[865, 5]]}"
དྷྲ,v001.txt,I1317,W23703,"{""13170267.tif"": [[172, 1]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170311.tif"": [[912, 5]]}"
མྦཱ,v001.txt,I1317,W23703,"{""13170329.tif"": [[706, 4]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170356.tif"": [[1510, 7]]}"
རྨྨ,v001.txt,I1317,W23703,"{""13170356.tif"": [[1520, 7]]}"
ཀཱུ,v001.txt,I1317,W23703,"{""13170357.tif"": [[602, 3]]}"
ཌུ,v001.txt,I1317,W23703,"{""13170357.tif"": [[299, 2], [311, 2], [314, 2], [325, 2]]}"
ཌུ,v001.txt,I1317,W23703,"{""13170359.tif"": [[277, 2], [1428, 7]]}"
ཎྞ,v001.txt,I1317,W23703,"{""13170359.tif"": [[256, 2]]}"
རྤ,v001.txt,I1317,W23703,"{""13170359.tif"": [[244, 2]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170362.tif"": [[336, 2]]}"
རྨྨ,v001.txt,I1317,W23703,"{""13170363.tif"": [[239, 2]]}"
ཊྚཱ,v001.txt,I1317,W23703,"{""13170391.tif"": [[43, 1]]}"
ནྨ,v001.txt,I1317,W23703,"{""13170391.tif"": [[28, 1]]}"
རྦཱ,v001.txt,I1317,W23703,"{""13170408.tif"": [[127, 1]]}"
དྡྷཱ,v001.txt,I1317,W23703,"{""13170414.tif"": [[927, 5]]}"
ལྐ,v001.txt,I1317,W23703,"{""13170462.tif"": [[1130, 6]]}"
ཀྵྨ,v001.txt,I1317,W23703,"{""13170502.tif"": [[388, 2]]}"
ཀྵྨཱ,v001.txt,I1317,W23703,"{""13170502.tif"": [[388, 2]]}"
