char,txt_file,image_group_id,work_id,reference
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140001.tif"": [[2, 1], [36, 1]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140001.tif"": [[0, 1]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140003.jpg"": [[0, 1]]}"
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140004.jpg"": [[703, 6]]}"
ནུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140005.jpg"": [[862, 5]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140005.jpg"": [[0, 1]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140007.jpg"": [[0, 1]]}"
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140008.jpg"": [[693, 4]]}"
ནུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140008.jpg"": [[410, 3]]}"
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140009.jpg"": [[650, 3], [977, 5], [1145, 6], [1226, 6]]}"
ནུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140009.jpg"": [[717, 4], [1128, 5]]}"
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140010.jpg"": [[1417, 8]]}"
ནུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140010.jpg"": [[552, 4], [915, 6]]}"
ནུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140011.jpg"": [[280, 2], [641, 3], [740, 4], [1463, 7]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140011.jpg"": [[3, 1]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140013.jpg"": [[3, 2]]}"
།།,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140015.jpg"": [[845, 6]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140015.jpg"": [[3, 2]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140021.jpg"": [[2, 2]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140023.jpg"": [[6, 2]]}"
༄༅,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140025.jpg"": [[3, 2]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140033.jpg"": [[587, 5]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140035.jpg"": [[680, 4]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140037.jpg"": [[750, 4]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140040.jpg"": [[789, 5]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140041.jpg"": [[474, 4]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140041.jpg"": [[647, 5]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140042.jpg"": [[355, 2]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140043.jpg"": [[390, 3]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140056.jpg"": [[614, 3]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140056.jpg"": [[143, 1]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140059.jpg"": [[1268, 7]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140061.jpg"": [[667, 4]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140063.jpg"": [[914, 5]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140068.jpg"": [[570, 3], [1014, 7]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140116.jpg"": [[162, 1]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140141.jpg"": [[131, 1]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140175.jpg"": [[67, 1]]}"
ྰ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140190.jpg"": [[931, 5]]}"
ཐྭ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140237.jpg"": [[0, 1]]}"
རྣུ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140296.jpg"": [[420, 3]]}"
ཉྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140347.jpg"": [[884, 5]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140347.jpg"": [[691, 4]]}"
ལྫ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140362.jpg"": [[347, 2]]}"
ལྐ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140394.jpg"": [[479, 3]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140402.jpg"": [[628, 4]]}"
པདྨེ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140408.jpg"": [[279, 2]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140410.jpg"": [[184, 1]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140483.jpg"": [[500, 3]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140499.jpg"": [[1062, 7]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140559.jpg"": [[194, 2]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140560.jpg"": [[761, 5]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140581.jpg"": [[90, 1]]}"
ཆྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140589.jpg"": [[785, 5]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140627.jpg"": [[66, 1]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140664.jpg"": [[157, 1]]}"
ཞྱ,I3CN20614.txt,I3CN20614,W3CN20612,"{""I3CN206140688.jpg"": [[154, 1]]}"
