char,txt_file,image_group_id,work_id,reference
༄༅,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[0, 1]]}"
་,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[7, 1], [11, 1], [14, 1], [19, 1], [23, 1], [28, 1], [32, 1], [173, 6], [185, 8]]}"
།།,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[2, 1], [36, 1]]}"
ུ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[179, 7]]}"
ེ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[22, 1], [31, 1], [172, 6]]}"
ོ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[5, 1], [25, 1]]}"
ྟ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[17, 1], [30, 1]]}"
ྱ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530001.tif"": [[9, 1], [178, 7]]}"
༄༅,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[0, 1]]}"
་,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[9, 1]]}"
།།,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[193, 3], [650, 8]]}"
ཤྲཱ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[27, 1]]}"
ུ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[18, 1], [25, 1], [72, 1], [144, 2], [149, 2], [197, 3], [206, 3], [243, 4], [269, 4]]}"
ེ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[84, 2], [87, 2], [91, 2], [172, 3], [238, 4], [258, 4], [261, 4]]}"
ོ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[66, 1], [100, 2], [124, 2], [140, 2], [167, 3], [186, 3], [220, 3], [230, 4]]}"
ྐ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[14, 1], [69, 1]]}"
ྒ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[7, 1], [250, 4], [281, 4], [292, 4], [326, 5]]}"
ྗ,I1PD106653.txt,I1PD106653,W1PD96684,"{""I1PD1066530004.jpg"": [[123, 2], [260, 4], [355, 5], [430, 6], [507, 7], [587, 8]]}"
